ensembl_id,efo_id_norm,target_name,disease_name,phase,label
ENSG00000006283,EFO_0003108,CACNA1G,essential tremor,2,0
ENSG00000006283,EFO_0003756,CACNA1G,autism spectrum disorder,1,0
ENSG00000006283,EFO_0003768,CACNA1G,nicotine dependence,2,0
ENSG00000006283,EFO_0003860,CACNA1G,pancreatic neoplasm,4,1
ENSG00000006283,EFO_0003890,CACNA1G,drug dependence,2,0
ENSG00000006283,EFO_0003917,CACNA1G,premature birth,1,0
ENSG00000006283,EFO_0004270,CACNA1G,restless legs syndrome,4,1
ENSG00000006283,EFO_0005323,CACNA1G,post-operative sign or symptom,2,0
ENSG00000006283,EFO_0005407,CACNA1G,psychosis,1,0
ENSG00000006283,EFO_0005687,CACNA1G,fibromyalgia,4,1
ENSG00000006283,EFO_0005762,CACNA1G,neuropathic pain,4,1
ENSG00000006283,EFO_0006788,CACNA1G,anxiety disorder,4,1
ENSG00000006283,EFO_0007191,CACNA1G,cannabis dependence,2,0
ENSG00000006283,EFO_0009430,CACNA1G,neuralgia,4,1
ENSG00000006283,EFO_0009690,CACNA1G,urinary system disease,4,1
ENSG00000006283,EFO_0010282,CACNA1G,gastrointestinal disease,4,1
ENSG00000006283,EFO_1000359,CACNA1G,Malignant Pancreatic Neoplasm,4,1
ENSG00000006283,EFO_1000971,CACNA1G,hyperemesis gravidarum,2,0
ENSG00000006283,EFO_1001250,CACNA1G,rotator cuff tear,2,0
ENSG00000006283,EFO_1001800,CACNA1G,Intervertebral Disc Displacement,2,0
ENSG00000006283,EFO_1001884,CACNA1G,dental phobia,2,0
ENSG00000006283,EFO_1001898,CACNA1G,mucositis,2,0
ENSG00000006283,EFO_1001998,CACNA1G,complex regional pain syndrome,2,0
ENSG00000006283,HP_0000083,CACNA1G,Renal insufficiency,1,0
ENSG00000006283,HP_0000989,CACNA1G,Pruritus,2,0
ENSG00000006283,HP_0001250,CACNA1G,Seizure,4,1
ENSG00000006283,HP_0002018,CACNA1G,Nausea,2,0
ENSG00000006283,HP_0002384,CACNA1G,Focal impaired awareness seizure,4,1
ENSG00000006283,HP_0003419,CACNA1G,Low back pain,2,0
ENSG00000006283,HP_0007359,CACNA1G,Focal-onset seizure,4,1
ENSG00000006283,HP_0012735,CACNA1G,Cough,1,0
ENSG00000006283,MONDO_0002050,CACNA1G,depressive disorder,1,0
ENSG00000006283,MONDO_0004892,CACNA1G,refractive error,1,0
ENSG00000006283,MONDO_0004992,CACNA1G,cancer,2,0
ENSG00000006283,MONDO_0005090,CACNA1G,schizophrenia,2,0
ENSG00000006283,MONDO_0005180,CACNA1G,Parkinson disease,2,0
ENSG00000006283,MONDO_0005277,CACNA1G,migraine disorder,2,0
ENSG00000006283,MONDO_0011382,CACNA1G,sickle cell disease,2,0
ENSG00000006283,MONDO_0015643,CACNA1G,photosensitive epilepsy,2,0
ENSG00000006283,MONDO_0016009,CACNA1G,fetal trimethadione syndrome,4,1
ENSG00000006283,MONDO_0017413,CACNA1G,Reunion island Larsen syndrome,1,0
ENSG00000006283,MONDO_0041052,CACNA1G,postherpetic neuralgia,4,1
ENSG00000006283,MONDO_0043797,CACNA1G,spinal cord injury,4,1
ENSG00000006283,Orphanet_294049,CACNA1G,Reunion Island's Larsen syndrome,1,0
ENSG00000006638,EFO_0001361,TBXA2R,pulmonary arterial hypertension,2,0
ENSG00000006638,HP_0004419,TBXA2R,Recurrent thrombophlebitis,4,1
ENSG00000006638,HP_0006536,TBXA2R,Airway obstruction,4,1
ENSG00000007171,EFO_0000373,NOS2,congestive heart failure,1,0
ENSG00000007171,EFO_0000537,NOS2,hypertension,1,0
ENSG00000007171,EFO_0000685,NOS2,rheumatoid arthritis,2,0
ENSG00000007171,EFO_0000764,NOS2,HIV infection,1,0
ENSG00000007171,EFO_0001422,NOS2,cirrhosis of liver,1,0
ENSG00000007171,EFO_0003913,NOS2,angina pectoris,2,0
ENSG00000007171,EFO_0004272,NOS2,anemia (phenotype),2,0
ENSG00000007171,EFO_0600064,NOS2,serum lipopolysaccharide activity,1,0
ENSG00000007171,MONDO_0004979,NOS2,asthma,2,0
ENSG00000007171,MONDO_0005277,NOS2,migraine disorder,2,0
ENSG00000007171,MONDO_0011382,NOS2,sickle cell disease,2,0
ENSG00000007312,EFO_0000095,CD79B,chronic lymphocytic leukemia,1,0
ENSG00000007312,EFO_0000403,CD79B,diffuse large B-cell lymphoma,4,1
ENSG00000007312,EFO_0000616,CD79B,neoplasm,4,1
ENSG00000007312,EFO_1001469,CD79B,Mantle cell lymphoma,2,0
ENSG00000007312,EFO_1001938,CD79B,B-cell non-Hodgkins lymphoma,4,1
ENSG00000007312,MONDO_0004095,CD79B,B-cell neoplasm,4,1
ENSG00000007312,MONDO_0018906,CD79B,follicular lymphoma,2,0
ENSG00000007314,EFO_0000195,SCN4A,metabolic syndrome,2,0
ENSG00000007314,EFO_0000275,SCN4A,atrial fibrillation,4,1
ENSG00000007314,EFO_0000284,SCN4A,benign prostatic hyperplasia,1,0
ENSG00000007314,EFO_0000305,SCN4A,breast carcinoma,1,0
ENSG00000007314,EFO_0000313,SCN4A,carcinoma,2,0
ENSG00000007314,EFO_0000319,SCN4A,cardiovascular disease,4,1
ENSG00000007314,EFO_0000389,SCN4A,cutaneous melanoma,2,0
ENSG00000007314,EFO_0000407,SCN4A,dilated cardiomyopathy,2,0
ENSG00000007314,EFO_0000474,SCN4A,epilepsy,4,1
ENSG00000007314,EFO_0000519,SCN4A,glioblastoma multiforme,1,0
ENSG00000007314,EFO_0000544,SCN4A,infection,4,1
ENSG00000007314,EFO_0000545,SCN4A,infertility,2,0
ENSG00000007314,EFO_0000555,SCN4A,irritable bowel syndrome,2,0
ENSG00000007314,EFO_0000677,SCN4A,mental or behavioural disorder,1,0
ENSG00000007314,EFO_0000707,SCN4A,squamous cell carcinoma,1,0
ENSG00000007314,EFO_0000713,SCN4A,subarachnoid hemorrhage,1,0
ENSG00000007314,EFO_0000764,SCN4A,HIV infection,2,0
ENSG00000007314,EFO_0001063,SCN4A,deafness,2,0
ENSG00000007314,EFO_0001068,SCN4A,malaria,4,1
ENSG00000007314,EFO_0001663,SCN4A,prostate carcinoma,4,1
ENSG00000007314,EFO_0002618,SCN4A,pancreatic carcinoma,1,0
ENSG00000007314,EFO_0002756,SCN4A,fasting,1,0
ENSG00000007314,EFO_0003086,SCN4A,kidney disease,1,0
ENSG00000007314,EFO_0003756,SCN4A,autism spectrum disorder,2,0
ENSG00000007314,EFO_0003758,SCN4A,autism,2,0
ENSG00000007314,EFO_0003777,SCN4A,heart disease,2,0
